Relationship,Title,Text,Class,Visible,Handle,ParentHandle
CHILD,CoreInput,,Windows.UI.Core.CoreComponentInputSource,T,0x00010222,0x00010212
PARENT,,,Shell_TrayWnd,T,0x00010118,0x00000000
CHILD,Start,Start,Start,T,0x0001011E,0x00010118
CHILD,Type here to search,Type here to search,TrayButton,T,0x00010120,0x00010118
CHILD,Task View,Task View,TrayButton,T,0x0001012A,0x00010118
CHILD,,,ReBarWindow32,T,0x00010160,0x00010118
CHILD,Running applications,Running applications,MSTaskSwWClass,T,0x00010162,0x00010160
CHILD,Running applications,Running applications,MSTaskListWClass,T,0x00010164,0x00010162
CHILD,,,PeopleBand,T,0x0001016E,0x00010160
CHILD,People,People,TrayButton,T,0x00010170,0x0001016E
CHILD,,,TrayNotifyWnd,T,0x0001012E,0x00010118
CHILD,,,Button,T,0x00010130,0x0001012E
CHILD,System Promoted Notification Area,System Promoted Notification Area,ToolbarWindow32,T,0x0001013C,0x0001012E
CHILD,,,SysPager,T,0x0001013E,0x0001012E
CHILD,User Promoted Notification Area,User Promoted Notification Area,ToolbarWindow32,T,0x00010140,0x0001013E
CHILD,Windows Ink Workspace,Windows Ink Workspace,PenWorkspaceButton,T,0x00010142,0x0001012E
CHILD,System Clock  12:58 PM  ‎10/‎27/‎2018,System Clock  12:58 PM  ‎10/‎27/‎2018,TrayClockWClass,T,0x00010150,0x0001012E
CHILD,Action Center,Action Center,TrayButton,T,0x00010154,0x0001012E
CHILD,,,TrayShowDesktopButtonWClass,T,0x00010158,0x0001012E
PARENT,WinInfo,WinInfo,Window,T,0x004C050C,0x00000000
CHILD,,,msctls_updown32,T,0x0024075E,0x004C050C
CHILD,0,0,Edit,T,0x00130636,0x004C050C
CHILD,Open CSV,Open CSV,Button,T,0x002F0ADE,0x004C050C
CHILD,List Visible,List Visible,Button,T,0x002B0A3A,0x004C050C
CHILD,List All,List All,Button,T,0x001705C2,0x004C050C
CHILD,Clear,Clear,Button,T,0x00510738,0x004C050C
CHILD,Working...,Working...,Edit,T,0x002309DA,0x004C050C
PARENT,wininfo,wininfo,Window,T,0x001706A6,0x00000000
PARENT,wininfo (D:\DEV\Work\pascal\WinAutoKey\examples\wininfo) - Debug - Lazarus IDE v1.8.4,wininfo (D:\DEV\Work\pascal\WinAutoKey\examples\wininfo) - Debug - Lazarus IDE v1.8.4,Window,T,0x00070B72,0x00000000
CHILD,AnchorDockSplitter1,AnchorDockSplitter1,Window,T,0x000E05A4,0x00070B72
CHILD,Source Editor   Object Inspector,Source Editor   Object Inspector,Window,T,0x00100510,0x00070B72
CHILD,AnchorDockSplitter4,AnchorDockSplitter4,Window,T,0x00430682,0x00100510
CHILD,Object Inspector,Object Inspector,Window,T,0x001E09FE,0x00100510
CHILD,Object Inspector,Object Inspector,Window,T,0x002609C6,0x001E09FE
CHILD,,,Window,T,0x00140658,0x002609C6
CHILD,,,SysTabControl32,T,0x0024072A,0x00140658
CHILD,,,Window,T,0x007901E4,0x0024072A
CHILD,PropertyGrid,PropertyGrid,Window,T,0x005B0564,0x007901E4
CHILD,(TStrings),(TStrings),Edit,T,0x00850AB6,0x005B0564
CHILD,,,Window,T,0x001D0ADA,0x00140658
CHILD,,,Edit,T,0x001F070E,0x001D0ADA
CHILD,Splitter2,Splitter2,Window,T,0x00280AD0,0x002609C6
CHILD,Splitter1,Splitter1,Window,T,0x00C40A42,0x002609C6
CHILD,,,Window,T,0x00250A1C,0x002609C6
CHILD,,,Window,T,0x00190622,0x00250A1C
CHILD,TLazIPHtmlControl_IPHTMLPanel,TLazIPHtmlControl_IPHTMLPanel,Window,T,0x004409F0,0x00190622
CHILD,,,Window,T,0x00150B24,0x004409F0
CHILD,,,Window,T,0x00190A1A,0x002609C6
CHILD,ComponentTree,ComponentTree,Window,T,0x001D0586,0x00190A1A
CHILD,,,Window,T,0x001B06D4,0x00190A1A
CHILD,,,Edit,T,0x00270A20,0x001B06D4
CHILD,,TMemo.Lines:TStrings = class(TPersistent),msctls_statusbar32,T,0x001F09F4,0x002609C6
CHILD,Object Inspector,Object Inspector,Window,T,0x001F09E8,0x001E09FE
CHILD,,,Window,T,0x002C09D0,0x00100510
CHILD,,,SysTabControl32,T,0x0013057A,0x002C09D0
CHILD,,,Window,T,0x00160578,0x0013057A
CHILD,Code Explorer,Code Explorer,Window,T,0x00300444,0x00160578
CHILD,Code Explorer,Code Explorer,Window,T,0x002F05EC,0x00300444
CHILD,,,SysTabControl32,T,0x00550AB0,0x002F05EC
CHILD,,,Window,T,0x0012060C,0x00550AB0
CHILD,,,Window,T,0x001F06B8,0x0012060C
CHILD,,,Edit,T,0x004A0A3E,0x001F06B8
CHILD,,,Window,T,0x001B0A64,0x0012060C
CHILD,AnchorDockSplitter3,AnchorDockSplitter3,Window,T,0x00160A8E,0x00100510
CHILD,,,Window,T,0x0010068E,0x00100510
CHILD,,,SysTabControl32,T,0x0011070A,0x0010068E
CHILD,,,Window,T,0x000E0662,0x0011070A
CHILD,Messages,Messages,Window,T,0x000E05B0,0x000E0662
CHILD,Messages,Messages,Window,T,0x000E0616,0x000E05B0
CHILD,,,Window,T,0x001805E8,0x000E0616
CHILD,,,Window,T,0x00130930,0x001805E8
CHILD,AnchorDockSplitter2,AnchorDockSplitter2,Window,T,0x001C0AA0,0x00100510
CHILD,Source Editor,Source Editor,Window,T,0x002E0034,0x00100510
CHILD,Source Editor,Source Editor,Window,T,0x002B0710,0x002E0034
CHILD,,,SysTabControl32,T,0x001304C8,0x002B0710
CHILD,,,Window,T,0x001C0A9A,0x001304C8
CHILD,,,SysTabControl32,T,0x000F0612,0x001C0A9A
CHILD,,,Window,T,0x003C062E,0x000F0612
CHILD,,,Window,T,0x002D0928,0x003C062E
CHILD,,,Window,T,0x002701C6,0x002D0928
CHILD,,,Window,T,0x00210278,0x002B0710
CHILD,,    156:  11,msctls_statusbar32,T,0x001D06E8,0x002B0710
CHILD,Source Editor,Source Editor,Window,T,0x001505FA,0x002E0034
CHILD,,,SysTabControl32,T,0x004F0A08,0x00070B72
CHILD,,,Window,T,0x003A08E0,0x004F0A08
CHILD,,,Window,T,0x004206F8,0x003A08E0
CHILD,,,Window,T,0x002C055A,0x003A08E0
CHILD,,,msctls_updown32,T,0x001506BE,0x004F0A08
CHILD,,,Window,T,0x002809E0,0x00070B72
CHILD,,,Window,T,0x000E06B0,0x002809E0
CHILD,,,Window,T,0x001504D0,0x002809E0
CHILD,,,Window,T,0x00070B62,0x00070B72
PARENT,wininfo (D:\DEV\Work\pascal\WinAutoKey\examples\wininfo) - Lazarus IDE v1.8.4,wininfo (D:\DEV\Work\pascal\WinAutoKey\examples\wininfo) - Lazarus IDE v1.8.4,Window,T,0x001606A2,0x00000000
PARENT,Q-Dir 6.49.4,Q-Dir 6.49.4,ATL:0000000140144FF0,T,0x00040354,0x00000000
CHILD,,,ReBarWindow32,T,0x000205B8,0x00040354
CHILD,,,ToolbarWindow32,T,0x0002058E,0x000205B8
CHILD,,,WTL_CommandBar2,T,0x000205B4,0x000205B8
CHILD,......,17 Objects,msctls_statusbar32,T,0x000107A8,0x00040354
CHILD,,,WTL_XSplitterWindow,T,0x000107AA,0x00040354
CHILD,,,WTL_XSplitterWindow,T,0x000207DA,0x000107AA
CHILD,,,WTL_XSplitterWindow,T,0x000207DC,0x000207DA
CHILD,,,#32770,T,0x000107E0,0x000207DC
CHILD,,Date created: ‎9/‎3/‎2018 ‏‎8:04 AM Size: 1.80 MB,msctls_statusbar32,T,0x00010814,0x000107E0
